ID	Account Name	Company	Parent Account	Disable	Account Number	Is Group	Root Type	Report Type	Currency	Account Category	Account Type	Tax Rate	Frozen	Balance must be	Old Parent	Include in gross
2100 - Accounts Payable - JMIT	Accounts Payable	JMIT	2100-2400 - Current Liabilities - JMIT	0	2100	1	Liability	Balance Sheet	PHP			0	No		0
2110 - Creditors - JMIT	Creditors	JMIT	2100 - Accounts Payable - JMIT	0	2110	0	Liability	Balance Sheet	PHP	Trade Payables	Payable	0	No		0
2120 - Payroll Payable - JMIT	Payroll Payable	JMIT	2100 - Accounts Payable - JMIT	0	2120	0	Liability	Balance Sheet	PHP	Other Payables	Payable	0	No		0
2150 - Accrued Expenses - JMIT	Accrued Expenses	JMIT	2100-2400 - Current Liabilities - JMIT	0	2150	0	Liability	Balance Sheet	PHP	Other Current Liabilities		0	No		0
2160 - Customer Advances - JMIT	Customer Advances	JMIT	2100-2400 - Current Liabilities - JMIT	0	2160	0	Liability	Balance Sheet	PHP	Other Current Liabilities		0	No		0
2200 - Stock Liabilities - JMIT	Stock Liabilities	JMIT	2100-2400 - Current Liabilities - JMIT	0	2200	1	Liability	Balance Sheet	PHP			0	No		0
2210 - Stock Received But Not Billed - JMIT	Stock Received But Not Billed	JMIT	2200 - Stock Liabilities - JMIT	0	2210	0	Liability	Balance Sheet	PHP	Trade Payables	Stock Received But Not Billed	0	No		0
2211 - Asset Received But Not Billed - JMIT	Asset Received But Not Billed	JMIT	2200 - Stock Liabilities - JMIT	0	2211	0	Liability	Balance Sheet	PHP	Trade Payables	Asset Received But Not Billed	0	No		0
2300 - Duties and Taxes - JMIT	Duties and Taxes	JMIT	2100-2400 - Current Liabilities - JMIT	0	2300	1	Liability	Balance Sheet	PHP	Current Tax Liabilities	Tax	0	No		0
2310 - TDS Payable - JMIT	TDS Payable	JMIT	2300 - Duties and Taxes - JMIT	0	2310	0	Liability	Balance Sheet	PHP	Current Tax Liabilities		0	No		0
VAT - JMIT	VAT	JMIT	2300 - Duties and Taxes - JMIT	0		0	Liability	Balance Sheet		Tax	Tax	12	No		0
CWT Tax - JMIT	CWT Tax	JMIT	2300 - Duties and Taxes - JMIT	0		0	Liability	Balance Sheet	PHP	Current Tax Liabilities	Tax	0	No		0
EWT Tax - JMIT	EWT Tax	JMIT	2300 - Duties and Taxes - JMIT	0		0	Liability	Balance Sheet	PHP	Current Tax Liabilities	Tax	0	No		0
2350 - Short-term Provisions - JMIT	Short-term Provisions	JMIT	2100-2400 - Current Liabilities - JMIT	0	2350	0	Liability	Balance Sheet	PHP	Short-term Provisions		0	No		0
2400 - Loans (Liabilities) - JMIT	Loans (Liabilities)	JMIT	2100-2400 - Current Liabilities - JMIT	0	2400	1	Liability	Balance Sheet	PHP			0	No		0
2410 - Secured Loans - JMIT	Secured Loans	JMIT	2400 - Loans (Liabilities) - JMIT	0	2410	0	Liability	Balance Sheet	PHP	Long-term Borrowings		0	No		0
2420 - Unsecured Loans - JMIT	Unsecured Loans	JMIT	2400 - Loans (Liabilities) - JMIT	0	2420	0	Liability	Balance Sheet	PHP	Long-term Borrowings		0	No		0
2430 - Bank Overdraft Account - JMIT	Bank Overdraft Account	JMIT	2400 - Loans (Liabilities) - JMIT	0	2430	0	Liability	Balance Sheet	PHP	Short-term Borrowings		0	No		0
2500 - Non-Current Liabilities - JMIT	Non-Current Liabilities	JMIT	2000 - Source of Funds (Liabilities) - JMIT	0	2500	1	Liability	Balance Sheet	PHP			0	No		0
2510 - Long-term Provisions - JMIT	Long-term Provisions	JMIT	2500 - Non-Current Liabilities - JMIT	0	2510	0	Liability	Balance Sheet	PHP	Long-term Provisions		0	No		0
2520 - Employee Benefits Obligation - JMIT	Employee Benefits Obligation	JMIT	2500 - Non-Current Liabilities - JMIT	0	2520	0	Liability	Balance Sheet	PHP	Other Non-current Liabilities		0	No		0
